Cell Cgi,Cell Tower Location,Comm Identifier,Comm Timedate String,Comm Type,Latitude,Longitude
50501015388B9,REDFERN TE,f1a6836c0b7a3415a19a90fdd6f0ae18484d6d1e,4/1/14 9:40,Phone,-33.89293336,151.2022962
50501015388B9,REDFERN TE,62157ccf2910019ffd915b11fa037243b75c1624,4/1/14 9:42,Phone,-33.89293336,151.2022962
505010153111F,HAYMARKET #,c8f92bd0f4e6fb45ed7fce96fc831b283db2b642,4/1/14 13:13,Phone,-33.88032891,151.2056904
505010153111F,HAYMARKET #,f1a6836c0b7a3415a19a90fdd6f0ae18484d6d1e,4/1/14 13:13,Phone,-33.88032891,151.2056904
5.05E+106,HAYMARKET #,f1a6836c0b7a3415a19a90fdd6f0ae18484d6d1e,4/1/14 17:27,Phone,-33.88032891,151.2056904
5050101532B23,CHIPPENDALE,6bbc17070aa91e2dab7909b96c6eecbd6109ba56,4/1/14 17:36,Phone,-33.88417103,151.20235
5050101536E5E,CHIPPENDALE,6bbc17070aa91e2dab7909b96c6eecbd6109ba56,4/1/14 17:40,Phone,-33.88417103,151.20235
5050101531F08,REDFERN TE,7cb96eadd3ff95e25406d24794027c443c0661c5,4/2/14 19:18,Phone,-33.89293336,151.2022962
505010153111F,HAYMARKET #,de40c5c1f9249f95f7fb216931db58747afef74f,4/3/14 14:35,Phone,-33.88032891,151.2056904
505010153111F,HAYMARKET #,66f32c1163d0e597983b65c51f5a477070ad3785,4/3/14 14:36,Phone,-33.88032891,151.2056904
50501015388BC,REDFERN TE,bc0b01860486b0f0a240ce8419d3d7553fe404ab,4/4/14 9:12,SMS,-33.89293336,151.2022962
50501015388BC,REDFERN TE,62157ccf2910019ffd915b11fa037243b75c1624,4/4/14 9:39,Phone,-33.89293336,151.2022962
50501015388BC,REDFERN TE,91aba4a11359ff3af7902428d20cfa7e676c36e7,4/4/14 9:39,Phone,-33.89293336,151.2022962
5050101537A4A,CHIPPENDALE,91aba4a11359ff3af7902428d20cfa7e676c36e7,4/4/14 9:47,Phone,-33.88417103,151.20235
505010153111F,HAYMARKET #,de40c5c1f9249f95f7fb216931db58747afef74f,4/4/14 14:00,Phone,-33.88032891,151.2056904
5.05E+106,HAYMARKET #,de40c5c1f9249f95f7fb216931db58747afef74f,4/4/14 15:11,Phone,-33.88032891,151.2056904
505010153111F,HAYMARKET #,b5238f237b241802d59fce177e4f9f016ae3d4f6,4/4/14 15:20,Phone,-33.88032891,151.2056904
5050101536E5E,CHIPPENDALE,91aba4a11359ff3af7902428d20cfa7e676c36e7,4/4/14 18:10,Phone,-33.88417103,151.20235
505010153A14C,HAYMARKET TE LEVEL 5 SRA BTS HOTEL,91aba4a11359ff3af7902428d20cfa7e676c36e7,4/4/14 18:28,Phone,-33.88024,151.20569
50501015369CB,71 MACQUARIE ST,91aba4a11359ff3af7902428d20cfa7e676c36e7,4/4/14 18:31,Phone,-33.86113,151.21293
505010152532C,FAIRLIGHT 137 SYDNEY RD,c8f92bd0f4e6fb45ed7fce96fc831b283db2b642,4/4/14 18:57,Phone,-33.79661,151.27756
505010152532C,FAIRLIGHT 137 SYDNEY RD,91aba4a11359ff3af7902428d20cfa7e676c36e7,4/4/14 18:58,Phone,-33.79661,151.27756
5.05E+12,MANLY #,dc6774d10eeca42629f043d3649f1edf903b0dab,4/5/14 15:10,Phone,-33.796679,151.285293
5050101531F08,REDFERN TE,62157ccf2910019ffd915b11fa037243b75c1624,4/7/14 10:46,Phone,-33.89293336,151.2022962
50501015388BC,REDFERN TE,bc0b01860486b0f0a240ce8419d3d7553fe404ab,4/7/14 12:31,SMS,-33.89293336,151.2022962
50501015388BC,REDFERN TE,70e1f163d854d4e9b63e9a3f4056ced467567d85,4/7/14 18:18,SMS,-33.89293336,151.2022962
5050101531F05,REDFERN TE,12e3d1b0c95aa32b6890c4455918dfc10e09fb51,4/7/14 18:23,Phone,-33.89293336,151.2022962
5050101531F05,REDFERN TE,6bbc17070aa91e2dab7909b96c6eecbd6109ba56,4/7/14 18:31,Phone,-33.89293336,151.2022962
5050101531F08,REDFERN TE,70e1f163d854d4e9b63e9a3f4056ced467567d85,4/7/14 18:39,SMS,-33.89293336,151.2022962
5050101531F08,REDFERN TE,70e1f163d854d4e9b63e9a3f4056ced467567d85,4/7/14 18:39,SMS,-33.89293336,151.2022962
5050101531F05,REDFERN TE,70e1f163d854d4e9b63e9a3f4056ced467567d85,4/7/14 18:54,SMS,-33.89293336,151.2022962
5050101531F05,REDFERN TE,bc0b01860486b0f0a240ce8419d3d7553fe404ab,4/7/14 19:13,SMS,-33.89293336,151.2022962
50501015388BB,REDFERN TE,bc0b01860486b0f0a240ce8419d3d7553fe404ab,4/7/14 21:22,SMS,-33.89293336,151.2022962
5050101531F08,REDFERN TE,70e1f163d854d4e9b63e9a3f4056ced467567d85,4/8/14 20:34,SMS,-33.89293336,151.2022962
5050101531F08,REDFERN TE,70e1f163d854d4e9b63e9a3f4056ced467567d85,4/8/14 20:35,SMS,-33.89293336,151.2022962
50501015388BC,REDFERN TE,70e1f163d854d4e9b63e9a3f4056ced467567d85,4/8/14 20:45,SMS,-33.89293336,151.2022962
5050101531F05,REDFERN TE,70e1f163d854d4e9b63e9a3f4056ced467567d85,4/8/14 20:52,SMS,-33.89293336,151.2022962
50501015388BC,REDFERN TE,70e1f163d854d4e9b63e9a3f4056ced467567d85,4/8/14 20:53,SMS,-33.89293336,151.2022962
50501015388BC,REDFERN TE,70e1f163d854d4e9b63e9a3f4056ced467567d85,4/8/14 20:54,SMS,-33.89293336,151.2022962
5050101531F05,REDFERN TE,70e1f163d854d4e9b63e9a3f4056ced467567d85,4/8/14 20:55,SMS,-33.89293336,151.2022962
5050101531F05,REDFERN TE,70e1f163d854d4e9b63e9a3f4056ced467567d85,4/8/14 20:56,SMS,-33.89293336,151.2022962
50501015388BC,REDFERN TE,91aba4a11359ff3af7902428d20cfa7e676c36e7,4/10/14 20:42,Phone,-33.89293336,151.2022962
50501015334B6,CHIPPENDALE,70e1f163d854d4e9b63e9a3f4056ced467567d85,4/10/14 21:35,SMS,-33.88417103,151.20235
50501015334B6,CHIPPENDALE,70e1f163d854d4e9b63e9a3f4056ced467567d85,4/10/14 21:36,SMS,-33.88417103,151.20235
50501015334B6,CHIPPENDALE,70e1f163d854d4e9b63e9a3f4056ced467567d85,4/10/14 21:36,SMS,-33.88417103,151.20235
50501015334B6,CHIPPENDALE,70e1f163d854d4e9b63e9a3f4056ced467567d85,4/10/14 21:43,SMS,-33.88417103,151.20235
